City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
246,Mehamn,NO,2021-09-28 07:56:53,71.0357,27.8492,55.31,58,100,16.64
247,Fonte Boa,BR,2021-09-28 07:56:53,-2.4959,-66.2662,70.61,99,37,2.82
248,Cotonou,BJ,2021-09-28 07:56:54,6.3654,2.4183,78.78,89,20,4.61
249,Morondava,MG,2021-09-28 07:56:54,-20.2833,44.2833,83.21,59,11,9.48
250,Batagay-Alyta,RU,2021-09-28 07:56:55,67.8006,130.4114,28.76,80,95,5.1
251,Calolbon,PH,2021-09-28 07:56:55,13.596,124.0991,85.86,70,47,5.97
252,Umluj,SA,2021-09-28 07:56:56,25.0213,37.2685,87.03,56,12,15.5
253,Gobabis,NA,2021-09-28 07:56:56,-22.45,18.9667,80.67,17,24,11.39
254,Port Hardy,CA,2021-09-28 07:56:56,50.6996,-127.4199,51.98,93,75,6.91
255,Chui,UY,2021-09-28 07:56:57,-33.6971,-53.4616,59.31,94,100,8.41
256,Igrim,RU,2021-09-28 07:56:58,63.1906,64.4162,42.69,58,100,3.49
257,Bonavista,CA,2021-09-28 07:56:58,48.6499,-53.1147,52.12,81,17,14.79
258,Safaga,EG,2021-09-28 07:56:58,26.7292,33.9365,82.35,36,0,13.96
259,Taoudenni,ML,2021-09-28 07:56:59,22.6783,-3.9836,94.41,9,6,11.3
260,Badamdar,AZ,2021-09-28 07:56:59,40.3394,49.8039,62.55,70,100,12.64
261,Saskylakh,RU,2021-09-28 07:57:00,71.9167,114.0833,26.62,90,48,7.18
262,Beloslav,BG,2021-09-28 07:57:00,43.1833,27.7,65.98,63,20,10.36
263,Elko,US,2021-09-28 07:57:00,41.0002,-115.5012,55.63,21,98,1.99
264,Mátraverebély,HU,2021-09-28 07:57:01,47.9742,19.7805,66.18,78,99,1.7
265,Hobyo,SO,2021-09-28 07:57:01,5.3505,48.5268,86.41,58,2,23.06
266,Lorengau,PG,2021-09-28 07:57:02,-2.0226,147.2712,82.85,71,16,6.4
267,Nizwá,OM,2021-09-28 07:57:02,22.9333,57.5333,97.11,24,100,7.65
268,Pacific Grove,US,2021-09-28 07:57:03,36.6177,-121.9166,63.16,90,90,5.01
269,Ormara,PK,2021-09-28 07:57:03,25.2088,64.6357,85.39,65,14,9.44
270,Oodweyne,SO,2021-09-28 07:57:04,9.4092,45.064,88.07,29,13,13.47
271,Naze,JP,2021-09-28 07:53:33,28.3667,129.4833,79.72,81,11,20.31
272,Semey,KZ,2021-09-28 07:57:04,50.4111,80.2275,57.42,38,0,6.71
273,Acapulco de Juárez,MX,2021-09-28 07:57:05,16.8634,-99.8901,76.98,86,91,4.36
274,Dalvik,IS,2021-09-28 07:57:05,65.9702,-18.5286,35.53,99,100,16.22
275,Penzance,GB,2021-09-28 07:57:05,50.1186,-5.5371,59.07,94,40,17.27
276,Sasebo,JP,2021-09-28 07:57:06,33.1592,129.7228,82.38,79,67,2.37
277,Makueni Boma,KE,2021-09-28 07:57:06,-1.8041,37.6203,79.0,38,22,7.61
278,Hokitika,NZ,2021-09-28 07:57:07,-42.7167,170.9667,47.68,78,1,6.89
279,Tsabong,BW,2021-09-28 07:57:07,-26.0217,22.401,79.27,21,19,4.54
280,Ābdānān,IR,2021-09-28 07:57:08,32.9926,47.4198,89.44,8,0,5.1
281,Dabakala,CI,2021-09-28 07:57:08,8.3667,-4.4333,75.34,85,62,2.64
282,Båtsfjord,NO,2021-09-28 07:57:08,70.6345,29.7185,55.33,65,100,26.98
283,Florø,NO,2021-09-28 07:57:09,61.5996,5.0328,58.96,71,40,19.57
284,Lufilufi,WS,2021-09-28 07:57:09,-13.8745,-171.5986,76.78,77,46,15.66
285,Road Town,VG,2021-09-28 07:57:10,18.4167,-64.6167,80.2,70,5,10.0
286,Arrondissement du Havre,FR,2021-09-28 07:57:10,49.5833,0.3333,55.17,82,0,9.22
287,Carman,CA,2021-09-28 07:57:11,49.4992,-98.0016,68.32,72,84,9.22
288,Samarinda,ID,2021-09-28 07:56:02,-0.5,117.15,82.38,83,97,3.56
289,Yichang,CN,2021-09-28 07:57:11,30.7144,111.2847,89.02,58,39,6.44
290,Itaituba,BR,2021-09-28 07:57:12,-4.2761,-55.9836,70.48,97,62,1.86
291,Yangi Marg`ilon,UZ,2021-09-28 07:57:12,40.4272,71.7189,78.15,33,3,4.61
292,Elliot,ZA,2021-09-28 07:57:12,-31.3333,27.85,67.68,45,22,5.7
